Car Number,Car,Class,Driver,Fastest Lap,Laps,Position,Race Time,Team
7,296 Challenge,TP,Jim Pollicina (AUS),6 1:31 7690,19,1,2:26 0170,Ferrari Sydney
117,296 Challenge,CS,Enzo Cheng (AUS),6 1:31 8080,19,2,2:26 2440,Ferrari Sydney
1,296 Challenge,TP,Mark Hudders (AUS),10 1:33 0650,19,3,2:56 8590,Ferrari Sydney
127,296 Challenge,CS,David Trewern (AUS),5 1:33 7430,19,4,3:13 5000,Ferrari Gold Coast
170,296 Challenge,CS,David Frish (AUS),6 1:33 4710,19,5,3:26 4270,Ferrari Sydney
105,296 Challenge,CS,Masahiro Taguchi (JPN),5 1:33 9780,19,6,3:29 0950,Ferrari Brisbane
277,488 Challenge EVO,TP,Jarrod Ferrari (AUS),3 1:35 4240,19,7,3:39 6240,Barbagallo Ferrari
212,488 Challenge EVO,TP,Misho Stephan (AUS),7 1:35 1720,19,8,3:42 2720,Ferrari Sydney
13,296 Challenge,TP,Paul Van Loenhout (AUS),11 1:35 8900,19,9,4:00 7080,Barbagallo Ferrari
275,488 Challenge EVO,TP,Baby Kei (JPN),17 1:37 4170,18,10,2:51 5270,Cornes Osaka
111,296 Challenge,CS,Tony Baildon (AUS),8 1:38 3560,18,11,2:59 5300,Ferrari Brisbane
