Car Number,Car,Class,Driver,Fastest Lap,Gap,Laps,Position,Team
117,296 Challenge,CS,Enzo Cheng (AUS),8 1:31 5460,,9,1,Ferrari Sydney
1,296 Challenge,TP,Mark Hudders (AUS),15 1:32 2790  0:00 ,33,19,2,Ferrari Sydney
127,296 Challenge,CS,David Trewern (AUS),14 1:32 3650  0:00 ,19,18,3,Ferrari Gold Coast
170,296 Challenge,CS,David Frish (AUS),11 1:32 7110  0:01 ,65,12,4,Ferrari Sydney
212,488 Challenge EVO,TP4,Misho Stephan (AUS),6 1:36 6610  0:05 ,15,7,5,Ferrari Sydney
275,488 Challenge EVO,TP4,Baby Kei (JPN),10 1:37 1530  0:05 ,07,18,6,Cornes Osaka
223,488 Challenge EVO,TP4,Aemel Nordin (AUS),4 1:37 9300  0:06 ,84,14,7,Ferrari Adelaide
111,296 Challenge,CS,Tony Baildon (AUS),9 1:40 2840  0:08 ,38,17,8,Ferrari Brisbane
13,296 Challenge,TP,Paul Van Loenhout (AUS),,,,,Barbagallo Ferrari
23,296 Challenge,TP,Cameron Campbell (AUS),,,,,Ferrari Richmond
